earthquake,pga,pgv,ia,cav
1968 M8.2 Tokachi-Oki,0,0,1,1
1971 M6.6 San Fernando,1,1,1,1
1978 M7.7 Miyagiken-Oki,0,0,1,1
1979 M6.5 Imperial Valley,1,1,1,1
1980 M6.3 Victoria,1,1,1,1
1981 M5.9 Westmorland,1,1,1,1
1983 M7.7 Nihonkai-Chubu,0,0,1,1
1983 M6.8 Nihonkai-Chubu,0,0,1,1
1987 M6.5 Superstition Hills,1,1,1,1
1989 M6.9 Loma Prieta,1,1,1,1
1993 M7.6 Kushiro-Oki Hokkaido,0,0,1,1
1994 M6.7 Northridge,1,1,1,1
1994 M8.3 Toho-Oki Hokkaido,0,0,1,1
1995 M6.9 Kobe,1,1,1,1
1999 M7.5 Kocaeli,1,1,1,1
1999 M7.6 Chi-Chi,1,1,1,1
2000 M6.6 Tottori,1,1,1,1
2003 M8.3 Tokachi,0,0,1,1
2007 M6.8 Chuetsu-oki,1,1,1,1
2010 M7.2 El Mayor-Cucapah,1,1,1,1
2010 M7.0 Darfield,1,1,1,1
2010 M8.8 Maule,0,0,1,1
2011 M6.2 Christchurch,1,1,1,1
2011 M5.0 Christchurch,1,0,0,0
2011 M6.0 Christchurch,1,1,1,1
2011 M5.9 Lyttelton,1,1,1,1
2011 M9.1 Tohoku-Oki,0,0,1,1
2012 M6.1 Emilia,1,1,1,1
2012 M6.0 Emilia,1,1,1,1
2019 M7.06 Ridgecrest,1,1,1,1
2019 M6.48 Ridgecrest,1,1,1,1
2020 M7.0 Samos,1,1,1,1
2023 M7.81 Pazarcik,1,1,1,1
2023 M7.74 Kahramanmaras,1,1,1,1
2023 M6.81 Nurdagi,1,1,1,1
2023 M6.37 Yayladagi,1,1,1,1
